time,price,size,brs,title,link,loc
2015-09-26 07:24:00,1175.0,,1.0,North camino alto vallejo gated complex,/eby/apa/5239761933.html,eby
2015-09-26 07:21:00,1900.0,725.0,1.0,Luxurious living at the Meridian,/eby/apa/5214822762.html,eby
2015-09-26 07:21:00,2400.0,850.0,2.0,Enjoy living at the Meridian,/eby/apa/5219013199.html,eby
2015-09-26 07:19:00,1895.0,759.0,2.0,Townhouse near Mills college. Pets okay. Open House Sunday 130230.,/eby/apa/5239755798.html,eby
2015-09-26 07:18:00,1895.0,759.0,2.0,Townhouse near Mills college. Pets okay. Private garage.,/eby/apa/5239753928.html,eby
2015-09-26 07:12:00,2195.0,,2.0,OPEN TODAY 23 Remodeled 2 BR in gated community ready NOW,/eby/apa/5239745561.html,eby
2015-09-26 07:11:00,2850.0,,3.0,OPEN TODAY 45 THIS IS THE ONE UTILITIES INCLUDED,/eby/apa/5239743630.html,eby
2015-09-26 07:10:00,2900.0,1118.0,1.0,Spacious open layout loft,/eby/apa/5239743063.html,eby
2015-09-26 07:10:00,2850.0,,3.0,OPEN TODAY 45 THIS IS THE ONE UTILITIES INCLUDED,/eby/apa/5239742247.html,eby
2015-09-26 07:09:00,3000.0,1325.0,2.0,Beautiful Mediteranean Home,/eby/apa/5239741451.html,eby
2015-09-26 07:06:00,2899.0,,2.0,2000 SQ FEET ARTIST LIVE WORK LOFT WITH ROLLUP DOOR NR 23RD ART AREA,/eby/apa/5226297830.html,eby
2015-09-26 07:05:00,1540.0,1756.0,3.0,Super 3/2,/eby/apa/5239713034.html,eby
2015-09-26 07:02:00,975.0,500.0,1.0,975 / 500ft2  Furnished hotel style kitchen HW flrs W/D in unit,/eby/apa/5239731499.html,eby
2015-09-26 07:02:00,2695.0,800.0,2.0,ALAMEDA LUXURY TWO BEDROOM ARCHITECT DESIGNED,/eby/apa/5239718209.html,eby
2015-09-26 06:44:00,2245.0,1000.0,2.0, Single Family House for Rent ,/eby/apa/5219354734.html,eby
2015-09-26 06:36:00,2595.0,1400.0,3.0,Large 3bd/2ba Livermore home for rent,/eby/apa/5222108290.html,eby
2015-09-26 06:34:00,2850.0,1386.0,3.0,RECENTLY REMODELED HOUSE IN UNION CITY NOW AVAILABLE,/eby/apa/5239695893.html,eby
2015-09-26 06:32:00,2700.0,850.0,2.0,ADAMS PTHARDWOODREMODELED GRANITE DISHWASHER ,/eby/apa/5239694328.html,eby
2015-09-26 06:09:00,2100.0,1500.0,3.0,Newly Updated House for rent,/eby/apa/5239669003.html,eby
2015-09-26 05:28:00,2100.0,,2.0,furnished two bedroom apartment in san leandro,/eby/apa/5239623129.html,eby
2015-09-26 02:57:00,2600.0,700.0,2.0,Convenient Sunny 2 BR with backyard 4 plex,/eby/apa/5239563390.html,eby
2015-09-26 02:40:00,2498.0,1550.0,2.0,Like a BB Historic Downtown Pleasanton,/eby/apa/5203235689.html,eby
2015-09-26 01:43:00,2450.0,1125.0,3.0,HOUSE with BAY VIEWS Richmond Heights. GARAGE GARDEN. Pet Negotiable,/eby/apa/5232767819.html,eby
2015-09-26 01:42:00,3925.0,2106.0,4.0,House New paint New wood floors bonus room. 2 car garage,/eby/apa/5232770299.html,eby
2015-09-26 01:42:00,2750.0,950.0,2.0,Gourmet Ghetto Apartment.Close to Cafes  UCB Coin laundry.Parking.,/eby/apa/5232769346.html,eby
2015-09-26 01:42:00,2175.0,,2.0,South Berkeley Victorian 4 plex. GardenRenovated.Close to Bart,/eby/apa/5232851284.html,eby
2015-09-26 01:42:00,2790.0,,1.0,South Berkeley. Victorian 4 plex. Wood floors. Close to Bart/UCB,/eby/apa/5232843489.html,eby
2015-09-26 00:53:00,1750.0,700.0,1.0,Sunny Spacious Clean  Quiet. Adams Point Lake Merritt,/eby/apa/5239534082.html,eby
2015-09-26 00:43:00,1800.0,600.0,2.0,El Cerrito 2 BdRm Easy Walk to Del Norte BART and Shopping,/eby/apa/5225516818.html,eby
2015-09-26 00:41:00,1980.0,,4.0,Beautiful home  6 month lease,/eby/apa/5239525998.html,eby
2015-09-26 00:33:00,4190.0,1900.0,3.0,RecentlyRenovated Sunny Spacious 3/2.5 Contemporary Home,/eby/apa/5226061960.html,eby
2015-09-26 00:32:00,4190.0,1900.0,3.0,RecentlyRemodeled Home 2 Blocks from BART,/eby/apa/5232519789.html,eby
2015-09-26 00:28:00,2350.0,1140.0,3.0,Convenient Commuters Location Newly Remodeled Townhouse For Rent,/eby/apa/5239523687.html,eby
